Country Name,Country Code,Value
Afghanistan,AFG,34656032
Albania,ALB,2876101
Algeria,DZA,40606052
American Samoa,ASM,55599
Andorra,AND,77281
Angola,AGO,28813463
Antigua and Barbuda,ATG,100963
Argentina,ARG,43847430
Armenia,ARM,2924816
Aruba,ABW,104822
Australia,AUS,24127159
Austria,AUT,8747358
Azerbaijan,AZE,9762274
Bahamas,BHS,391232
Bahrain,BHR,1425171
Bangladesh,BGD,162951560
Barbados,BRB,284996
Belarus,BLR,9507120
Belgium,BEL,11348159
Belize,BLZ,366954
Benin,BEN,10872298
Bermuda,BMU,65331
Bhutan,BTN,797765
Bolivia,BOL,10887882
Bosnia and Herzegovina,BIH,3516816
Botswana,BWA,2250260
Brazil,BRA,207652865
British Virgin Islands,VGB,30661
Brunei Darussalam,BRN,423196
Bulgaria,BGR,7127822
Burkina Faso,BFA,18646433
Burundi,BDI,10524117
Cabo Verde,CPV,539560
Cambodia,KHM,15762370
Cameroon,CMR,23439189
Canada,CAN,36286425
Cayman Islands,CYM,60765
Central African Republic,CAF,4594621
Chad,TCD,14452543
Channel Islands,CHI,164541
Chile,CHL,17909754
China,CHN,1378665000
Colombia,COL,48653419
Comoros,COM,795601
Congo (Kinshasa),COD,78736153
Congo (Brazzaville),COG,5125821
Costa Rica,CRI,4857274
Cote d'Ivoire,CIV,23695919
Croatia,HRV,4170600
Cuba,CUB,11475982
Curacao,CUW,159999
Cyprus,CYP,1170125
Czech Republic,CZE,10561633
Denmark,DNK,5731118
Djibouti,DJI,942333
Dominica,DMA,73543
Dominican Republic,DOM,10648791
Ecuador,ECU,16385068
Egypt,EGY,95688681
El Salvador,SLV,6344722
Equatorial Guinea,GNQ,1221490
Estonia,EST,1316481
Ethiopia,ETH,102403196
Faroe Islands,FRO,49117
Fiji,FJI,898760
Finland,FIN,5495096
France,FRA,66896109
French Polynesia,PYF,280208
Gabon,GAB,1979786
Gambia,GMB,2038501
Georgia,GEO,3719300
Germany,DEU,82667685
Ghana,GHA,28206728
Gibraltar,GIB,34408
Greece,GRC,10746740
Greenland,GRL,56186
Grenada,GRD,107317
Guam,GUM,162896
Guatemala,GTM,16582469
Guinea,GIN,12395924
Guinea-Bissau,GNB,1815698
Guyana,GUY,773303
Haiti,HTI,10847334
Honduras,HND,9112867
Hong Kong,HKG,7346700
Hungary,HUN,9817958
Iceland,ISL,334252
India,IND,1324171354
Indonesia,IDN,261115456
Iran,IRN,80277428
Iraq,IRQ,37202572
Ireland,IRL,4773095
Isle of Man,IMN,83737
Israel,ISR,8547100
Italy,ITA,60600590
Jamaica,JAM,2881355
Japan,JPN,126994511
Jordan,JOR,9455802
Kazakhstan,KAZ,17797032
Kenya,KEN,48461567
Kiribati,KIR,114395
"Korea, Dem. Peopleâ€™s Rep.",PRK,25368620
South Korea,KOR,51245707
Kosovo,XKX,1816200
Kuwait,KWT,4052584
Kyrgyz Republic,KGZ,6082700
Lao PDR,LAO,6758353
Latvia,LVA,1960424
Lebanon,LBN,6006668
Lesotho,LSO,2203821
Liberia,LBR,4613823
Libya,LBY,6293253
Liechtenstein,LIE,37666
Lithuania,LTU,2872298
Luxembourg,LUX,582972
"Macao SAR, China",MAC,612167
"Macedonia, FYR",MKD,2081206
Madagascar,MDG,24894551
Malawi,MWI,18091575
Malaysia,MYS,31187265
Maldives,MDV,417492
Mali,MLI,17994837
Malta,MLT,436947
Marshall Islands,MHL,53066
Mauritania,MRT,4301018
Mauritius,MUS,1263473
Mexico,MEX,127540423
Micronesia,FSM,104937
Moldova,MDA,3552000
Monaco,MCO,38499
Mongolia,MNG,3027398
Montenegro,MNE,622781
